SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00282 S16_DX msp7 msp7-19 1826 2 1 0.00340912697597742 0.0117131035757996
A00329 S16_DX msp7 msp7-19 11069 3 1 0.0198689642793035 0.0117131035757996
A00209 S17_D0 msp7 msp7-1 10875 1 1 0.0220610162064789 0.0235295472025613
A00256 S17_D0 msp7 msp7-1 12462 2 1 0.0232664514647484 0.0235295472025613
A00303 S17_D0 msp7 msp7-1 14073 3 1 0.0252611739364566 0.0235295472025613
A00236 S17_DX msp7 msp7-1 17042 1 1 0.034571387419845 0.0304925402042328
A00283 S17_DX msp7 msp7-1 16046 2 1 0.0299577499761959 0.0304925402042328
A00330 S17_DX msp7 msp7-1 15013 3 1 0.0269484832166577 0.0304925402042328
A00210 S18_D0 msp7 msp7-11 7909 1 2 0.0160441910047855 0.0104357630955421
A00210 S18_D0 msp7 msp7-20 18751 1 2 0.0380382634379482 0.0247240183909857
A00257 S18_D0 msp7 msp7-11 5064 2 2 0.00945444633425501 0.0104357630955421
A00257 S18_D0 msp7 msp7-20 11624 2 2 0.0217019123596722 0.0247240183909857
A00304 S18_D0 msp7 msp7-11 3236 3 2 0.00580865194758571 0.0104357630955421
A00304 S18_D0 msp7 msp7-20 8040 3 2 0.0144318793753366 0.0247240183909857
A00237 S18_DX msp7 msp7-19 985 1 3 0.00199817020352936 0.00131554918124582
A00237 S18_DX msp7 msp7-1 7965 1 3 0.0161577925595039 0.0106042068840404
A00237 S18_DX msp7 msp7-23 9333 1 3 0.0189329162533396 0.0124419892203475
A00284 S18_DX msp7 msp7-19 561 2 3 0.00104738238418583 0.00131554918124582
A00284 S18_DX msp7 msp7-1 4596 2 3 0.00858069418488073 0.0106042068840404
A00284 S18_DX msp7 msp7-23 5231 2 3 0.00976623396020694 0.0124419892203475
A00331 S18_DX msp7 msp7-19 502 3 3 0.000901094956022258 0.00131554918124582
A00331 S18_DX msp7 msp7-1 3941 3 3 0.00707413390773649 0.0106042068840404
A00331 S18_DX msp7 msp7-23 4806 3 3 0.00862681744749596 0.0124419892203475
A00211 S19_D0 msp7 msp7-1 202 1 2 0.000409777036662873 0.000440659964438125
A00211 S19_D0 msp7 msp7-16 8766 1 2 0.0177827005118156 0.0194461239719006
A00258 S19_D0 msp7 msp7-1 279 2 2 0.000520890704434666 0.000440659964438125
A00258 S19_D0 msp7 msp7-16 12308 2 2 0.0229789347318346 0.0194461239719006
A00305 S19_D0 msp7 msp7-1 218 3 2 0.000391312152216837 0.000440659964438125
A00305 S19_D0 msp7 msp7-16 9792 3 2 0.0175767366720517 0.0194461239719006
A00238 S19_DX msp7 msp7-16 7774 1 1 0.0157703301139464 0.0171953845575272
A00285 S19_DX msp7 msp7-16 9052 2 1 0.016900009521658 0.0171953845575272
A00332 S19_DX msp7 msp7-16 10538 3 1 0.0189158140369772 0.0171953845575272
A00194 S2_D0 msp7 msp7-3 22116 1 1 0.0448644997170104 0.0359803077688912
A00241 S2_D0 msp7 msp7-3 12615 2 1 0.02355210120589 0.0359803077688912
A00288 S2_D0 msp7 msp7-3 22019 3 1 0.0395243223837731 0.0359803077688912
A00221 S2_DX msp7 msp7-13 5496 1 2 0.0111491811559364 0.0190569807505669
A00268 S2_DX msp7 msp7-3 326 2 2 0.000608639317726527 0.000520618348506056
A00268 S2_DX msp7 msp7-13 13085 2 2 0.0244295873388086 0.0190569807505669
A00315 S2_DX msp7 msp7-3 241 3 2 0.000432597379285586 0.000520618348506056
A00315 S2_DX msp7 msp7-13 12029 3 2 0.0215921737569557 0.0190569807505669
A00212 S20_D0 msp7 msp7-1 7126 1 1 0.014455797837919 0.0223857291007193
A00259 S20_D0 msp7 msp7-1 16457 2 1 0.0307250835945566 0.0223857291007193
A00306 S20_D0 msp7 msp7-1 12243 3 1 0.0219763058696823 0.0223857291007193
A00239 S20_DX msp7 msp7-1 11047 1 1 0.0224099352673998 0.0233942813636088
A00286 S20_DX msp7 msp7-1 10755 2 1 0.0200794965096589 0.0233942813636088
A00333 S20_DX msp7 msp7-1 15428 3 1 0.0276934123137677 0.0233942813636088
A00195 S3_D0 msp7 msp7-1 11614 1 1 0.0235601510089238 0.0295363706153373
